run_id,scenario,fault_type,affected_rank,delay_seconds,oom_injection,world_size,master_port,fault_iteration,total_iteration,workload_timeout,status
oom_trial_1_0_2_20260714_235308,fail_stop,cuda_oom,0,None,True,2,29611,2,20,120,oom_fault_triggered
oom_trial_1_0_10_20260714_235321,fail_stop,cuda_oom,0,None,True,2,29611,10,20,120,oom_fault_triggered
oom_trial_1_0_18_20260714_235343,fail_stop,cuda_oom,0,None,True,2,29611,18,20,120,oom_fault_triggered
oom_trial_1_1_2_20260714_235413,fail_stop,cuda_oom,1,None,True,2,29611,2,20,120,oom_fault_triggered
oom_trial_1_1_10_20260714_235428,fail_stop,cuda_oom,1,None,True,2,29611,10,20,120,oom_fault_triggered
oom_trial_1_1_18_20260714_235450,fail_stop,cuda_oom,1,None,True,2,29611,18,20,120,oom_fault_triggered
slow_trial_1_0_6_20260714_235521,fail_slow,gpu_straggler,0,6,False,2,29631,all,20,120,timeout
slow_trial_1_0_12_20260714_235724,fail_slow,gpu_straggler,0,12,False,2,29631,all,20,120,timeout
slow_trial_1_0_30_20260714_235927,fail_slow,gpu_straggler,0,30,False,2,29631,all,20,120,timeout
slow_trial_1_1_6_20260715_000130,fail_slow,gpu_straggler,1,6,False,2,29631,all,20,120,timeout
slow_trial_1_1_12_20260715_000333,fail_slow,gpu_straggler,1,12,False,2,29631,all,20,120,timeout
slow_trial_1_1_30_20260715_000536,fail_slow,gpu_straggler,1,30,False,2,29631,all,20,120,timeout
oom_trial_1_0_2_20260715_001517,fail_stop,cuda_oom,0,None,True,2,29611,2,20,120,oom_fault_triggered
oom_trial_1_1_2_20260715_001529,fail_stop,cuda_oom,1,None,True,2,29611,2,20,120,oom_fault_triggered
slow_trial_1_0_6_20260715_001542,fail_slow,gpu_straggler,0,6,False,2,29631,all,20,120,timeout
slow_trial_1_1_6_20260715_001745,fail_slow,gpu_straggler,1,6,False,2,29631,all,20,120,timeout
